5,10,2800,2680600
5,10,2700,2749000
5,10,2600,4754100
5,15,6300,109296800
5,15,4900,108934300
5,15,1600,109654200
5,20,3000,4280089800
5,20,2700,4180715800
5,20,1800,4227812200
5,25,2700,164784210600
5,25,3400,173754730800
5,25,2700,170135663200
10,10,1600,2931100
10,10,2300,3576100
10,10,1900,2911100
10,15,1500,116121600
10,15,2300,115658900
10,15,1700,116768700
10,20,3300,4478372100
10,20,3900,4354721700
10,20,2800,4487653400
10,25,2500,177462177100
10,25,2000,174794025500
10,25,3100,177058113200
15,10,2300,3089800
15,10,2500,3374100
15,10,2300,3231200
15,15,1600,115668100
15,15,2100,127791200
15,15,1900,118982500
15,20,2400,4646396400
15,20,1600,4638714300
15,20,5000,4658680300
15,25,1100,182410455400
15,25,2600,182020211000
15,25,2000,183598016200



